State,District,Date,Year,Month,Avg_rainfall,Agency_name
Telangana,Jagitial,2025-01-28,2025,01,0.0011696179,NRSC VIC MODEL
Telangana,Jagitial,2025-01-29,2025,01,0.0011696179,NRSC VIC MODEL
Telangana,Jagitial,2025-01-31,2025,01,0.0,NRSC VIC MODEL
Telangana,Jagitial,2025-02-02,2025,02,0.0,NRSC VIC MODEL
Telangana,Jagitial,2025-02-01,2025,02,0.0,NRSC VIC MODEL
Telangana,Jagitial,2025-02-05,2025,02,0.0001546573,NRSC VIC MODEL
Telangana,Jagitial,2025-02-06,2025,02,0.0,NRSC VIC MODEL
Telangana,Jagitial,2025-02-10,2025,02,0.0,NRSC VIC MODEL
Telangana,Jagitial,2025-02-16,2025,02,0.0,NRSC VIC MODEL
Telangana,Jagitial,2025-02-20,2025,02,0.0,NRSC VIC MODEL
Telangana,Jagitial,2025-02-25,2025,02,0.0,NRSC VIC MODEL
Telangana,Jagitial,2025-02-26,2025,02,0.0,NRSC VIC MODEL
Telangana,Jagitial,2025-02-28,2025,02,0.0,NRSC VIC MODEL
Telangana,Jagitial,2025-03-03,2025,03,0.0,NRSC VIC MODEL
Telangana,Jagitial,2025-03-08,2025,03,0.0,NRSC VIC MODEL
Telangana,Jagitial,2025-03-11,2025,03,0.0,NRSC VIC MODEL
Telangana,Jagitial,2025-03-13,2025,03,0.0,NRSC VIC MODEL
Telangana,Jagitial,2025-03-17,2025,03,2.68123e-05,NRSC VIC MODEL
Telangana,Jagitial,2025-03-24,2025,03,0.0157582539,NRSC VIC MODEL
Telangana,Jagitial,2025-03-25,2025,03,0.3211054979,NRSC VIC MODEL
Telangana,Jagitial,2025-03-28,2025,03,0.0,NRSC VIC MODEL
Telangana,Jagitial,2025-03-29,2025,03,0.0,NRSC VIC MODEL
Telangana,Jagitial,2025-04-06,2025,04,0.039821662,NRSC VIC MODEL
Telangana,Jagitial,2025-04-21,2025,04,0.0003093146,NRSC VIC MODEL
Telangana,Jagitial,2025-04-22,2025,04,0.000736362,NRSC VIC MODEL
Telangana,Jagitial,2025-04-24,2025,04,0.0,NRSC VIC MODEL
Telangana,Jagitial,2025-04-25,2025,04,0.091423374,NRSC VIC MODEL
Telangana,Jagitial,2025-04-27,2025,04,0.6391478522,NRSC VIC MODEL
Telangana,Jagitial,2025-04-29,2025,04,0.1640482915,NRSC VIC MODEL
Telangana,Jagitial,2025-05-02,2025,05,0.0129074908,NRSC VIC MODEL
Telangana,Jagitial,2025-05-07,2025,05,3.6743210812,NRSC VIC MODEL
Telangana,Jagitial,2025-05-09,2025,05,0.0,NRSC VIC MODEL
Telangana,Jagitial,2025-05-23,2025,05,48.1965945443,NRSC VIC MODEL
Telangana,Jagitial,2025-05-25,2025,05,4.9359788538,NRSC VIC MODEL
Telangana,Jagitial,2025-05-28,2025,05,34.7444342315,NRSC VIC MODEL
Telangana,Jagitial,2025-06-13,2025,06,21.4016318554,NRSC VIC MODEL
Telangana,Jagitial,2025-06-16,2025,06,0.0,NRSC VIC MODEL
Telangana,Jagitial,2025-06-18,2025,06,0.0014364536,NRSC VIC MODEL
Telangana,Jagitial,2025-06-21,2025,06,1.8019907244,NRSC VIC MODEL
Telangana,Jangoan,2025-01-01,2025,01,0.0,NRSC VIC MODEL
Telangana,Jangoan,2025-01-07,2025,01,0.0,NRSC VIC MODEL
Telangana,Jangoan,2025-01-10,2025,01,0.0,NRSC VIC MODEL
Telangana,Jangoan,2025-01-25,2025,01,0.0,NRSC VIC MODEL
Telangana,Jangoan,2025-02-08,2025,02,0.0,NRSC VIC MODEL
Telangana,Jangoan,2025-02-10,2025,02,0.0,NRSC VIC MODEL
Telangana,Jangoan,2025-02-26,2025,02,0.0,NRSC VIC MODEL
Telangana,Jangoan,2025-03-01,2025,03,0.0,NRSC VIC MODEL
Telangana,Jangoan,2025-03-02,2025,03,0.0,NRSC VIC MODEL
Telangana,Jangoan,2025-03-07,2025,03,0.0,NRSC VIC MODEL
Telangana,Jangoan,2025-03-10,2025,03,0.0,NRSC VIC MODEL
Telangana,Jangoan,2025-03-13,2025,03,0.0,NRSC VIC MODEL
Telangana,Jangoan,2025-03-17,2025,03,0.0,NRSC VIC MODEL
